reference_version,protocol_version,evaluator_version,split,case_token,observation_id,candidate_status,item,value,unit,date_candidates,time_roles,header_scope,source_locator,source_support_status,identity_relation,identity_evidence,manual_judgment,reviewer_a,reviewer_b,adjudication,excluded_reason,locked_at,content_digest
TBD,research-card-v0.3/shared-synthetic-v0.1,c-eval-dev-v0.1,development,TBD,DEV-001,candidate,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,not_started,TBD,TBD,TBD,TBD,TBD,TBD
TBD,research-card-v0.3/shared-synthetic-v0.1,c-eval-dev-v0.1,development,TBD,DEV-002,candidate,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,not_started,TBD,TBD,TBD,TBD,TBD
TBD,research-card-v0.3/shared-synthetic-v0.1,c-eval-dev-v0.1,development,TBD,DEV-003,candidate,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,not_started,TBD,TBD,TBD,TBD,TBD
TBD,research-card-v0.3/shared-synthetic-v0.1,c-eval-dev-v0.1,development,TBD,DEV-004,candidate,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,not_started,TBD,TBD,TBD,TBD,TBD,TBD
TBD,research-card-v0.3/shared-synthetic-v0.1,c-eval-dev-v0.1,development,TBD,DEV-005,candidate,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,not_started,TBD,TBD,TBD,TBD,TBD,TBD
TBD,research-card-v0.3/shared-synthetic-v0.1,c-eval-dev-v0.1,development,TBD,DEV-006,candidate,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,not_started,TBD,TBD,TBD,TBD,TBD,TBD
TBD,research-card-v0.3/shared-synthetic-v0.1,c-eval-dev-v0.1,development,TBD,DEV-007,candidate,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,not_started,TBD,TBD,TBD,TBD,TBD,TBD
TBD,research-card-v0.3/shared-synthetic-v0.1,c-eval-dev-v0.1,development,TBD,DEV-008,candidate,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,not_started,TBD,TBD,TBD,TBD,TBD,TBD
TBD,research-card-v0.3/shared-synthetic-v0.1,c-eval-dev-v0.1,development,TBD,DEV-009,candidate,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,not_started,TBD,TBD,TBD,TBD,TBD,TBD
TBD,research-card-v0.3/shared-synthetic-v0.1,c-eval-dev-v0.1,development,TBD,DEV-010,candidate,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,not_started,TBD,TBD,TBD,TBD,TBD,TBD
TBD,research-card-v0.3/shared-synthetic-v0.1,c-eval-dev-v0.1,development,TBD,DEV-011,candidate,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,not_started,TBD,TBD,TBD,TBD,TBD,TBD
TBD,research-card-v0.3/shared-synthetic-v0.1,c-eval-dev-v0.1,development,TBD,DEV-012,candidate,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,not_started,TBD,TBD,TBD,TBD,TBD,TBD
TBD,research-card-v0.3/shared-synthetic-v0.1,c-eval-dev-v0.1,development,TBD,DEV-013,candidate,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,not_started,TBD,TBD,TBD,TBD,TBD,TBD
TBD,research-card-v0.3/shared-synthetic-v0.1,c-eval-dev-v0.1,development,TBD,DEV-014,candidate,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,not_started,TBD,TBD,TBD,TBD,TBD,TBD
TBD,research-card-v0.3/shared-synthetic-v0.1,c-eval-dev-v0.1,development,TBD,DEV-015,candidate,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,not_started,TBD,TBD,TBD,TBD,TBD,TBD
TBD,research-card-v0.3/shared-synthetic-v0.1,c-eval-dev-v0.1,development,TBD,DEV-016,candidate,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,not_started,TBD,TBD,TBD,TBD,TBD,TBD
TBD,research-card-v0.3/shared-synthetic-v0.1,c-eval-dev-v0.1,development,TBD,DEV-017,candidate,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,not_started,TBD,TBD,TBD,TBD,TBD,TBD
TBD,research-card-v0.3/shared-synthetic-v0.1,c-eval-dev-v0.1,development,TBD,DEV-018,candidate,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,not_started,TBD,TBD,TBD,TBD,TBD,TBD
TBD,research-card-v0.3/shared-synthetic-v0.1,c-eval-dev-v0.1,development,TBD,DEV-019,candidate,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,not_started,TBD,TBD,TBD,TBD,TBD,TBD
TBD,research-card-v0.3/shared-synthetic-v0.1,c-eval-dev-v0.1,development,TBD,DEV-020,candidate,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,not_started,TBD,TBD,TBD,TBD,TBD,TBD
